Movie_Name,User_Score(%),Time,Date of Release,Genres,Director,Overview
The Little Mermaid,2h 15m,2h 15m,05/26/2023,"Adventure , Family , Fantasy , Romance",Rob Marshall,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy."
The Flash,2h 24m,2h 24m,06/16/2023,"Science Fiction , Action , Adventure",Andy Muschietti,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?"
Avatar: The Way of Water,3h 12m,3h 12m,12/16/2022,"Science Fiction , Adventure , Action",James Cameron,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure."
Little Bone Lodge,1h 33m,1h 33m,03/11/2023,"Horror , Crime , Thriller",Matthias Hoene,"During a stormy night in the Scottish Highlands, two criminal brothers on the run seek refuge in a desolate farmhouse. But after taking the resident family captive, they find the house holds even darker secrets of its own."
Mortal Kombat Legends: Battle of the Realms,1h 20m,1h 20m,08/31/2021,"Animation , Action , Fantasy",Ethan Spaulding,"The Earthrealm heroes must journey to the Outworld and fight for the survival of their homeland, invaded by the forces of evil warlord Shao Kahn, in the tournament to end all tournaments: the final Mortal Kombat."
Skinamarink,1h 40m,1h 40m,07/25/2022,Horror,Kyle Edward Ball,"Two children wake up in the middle of the night to find their father is missing, and all the windows and doors in their home have vanished."
Shadow Master,1h 30m,1h 30m,11/04/2022,"Action , Fantasy , Thriller",Pearry Reginald Teo,"After being slain by a group of criminals, a man is reborn with animal-like superpowers and makes it his mission to right the wrongs of his city."
The Black Demon,1h 40m,1h 40m,04/28/2023,"Horror , Thriller",Adrian Grünberg,"Oilman Paul Sturges' idyllic family vacation turns into a nightmare when they encounter a ferocious megalodon shark that will stop at nothing to protect its territory. Stranded and under constant attack, Paul and his family must somehow find a way to get his family back to shore alive before it strikes again in this epic battle between humans and nature."
Cold Eyes,1h 59m,1h 59m,07/03/2013,"Adventure , Crime , Action , Thriller","Cho Ui-seok,Kim Byung-seo","Ha Yoon-ju becomes the newest member of a unit within the Korean Police Forces Special Crime Department that specializes in surveillance activities on high-profile criminals. She teams up with Hwang Sang-jun, the veteran leader of the unit, and tries to track down James who is the cold-hearted leader of an armed criminal organization."
The Wrath of Becky,1h 23m,1h 23m,05/26/2023,"Action , Horror , Thriller","Matt Angel,Suzanne Coote","Two years after she escaped a violent attack on her family, 16-year-old Becky attempts to rebuild her life in the care of an older woman -- a kindred spirit named Elena. However, when a violent group known as the Noble Men break into their home, attack them and take their beloved dog, Becky must return to her old ways to protect herself and her loved ones."
GANTZ:O,1h 35m,1h 35m,10/14/2016,"Science Fiction , Action , Animation","Keiichi Sato,Yasushi Kawamura","After being brutally murdered in a subway station, a teen boy awakens to find himself resurrected by a strange computer named Gantz, and forced to fight a large force of invading aliens in Osaka."
Run Rabbit Run,1h 40m,1h 40m,06/10/2023,"Horror , Thriller",Daina Reid,"Sarah is a fertility doctor with a firm understanding of the cycle of life. When she is forced to make sense of the increasingly strange behavior of her young daughter Mia, she must challenge her own beliefs and confront a ghost from her past."
Evil Dead Rise,1h 36m,1h 36m,04/21/2023,"Thriller , Horror",Lee Cronin,"A reunion between two estranged sisters gets cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable."
Hypnotic,1h 34m,1h 34m,05/12/2023,"Mystery , Thriller , Science Fiction",Robert Rodriguez,A detective becomes entangled in a mystery involving his missing daughter and a secret government program while investigating a string of reality-bending crimes.
Puss in Boots: The Last Wish,1h 43m,1h 43m,12/21/2022,"Animation , Family , Fantasy , Adventure , Comedy",Joel Crawford,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives."
Ant-Man and the Wasp: Quantumania,2h 5m,2h 5m,02/17/2023,"Action , Adventure , Science Fiction",Peyton Reed,"Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible."
